handle,num_posts,followers,following,created_at,is_recent_account,is_following_ratio_high,has_duplicate_posts
lexi-noodlearts.bsky.social,1,1131,410,2023-08-24T18:15:52.513Z,False,False,False
kunogi.bsky.social,1,1167,414,2023-04-24T19:47:46.044Z,False,False,False
baptistapp.bsky.social,4,553,528,2024-04-10T13:48:37.673Z,False,False,False
andreycouto.bsky.social,1,421,305,2024-08-29T03:54:51.520Z,False,False,False
ferguimaraesrosa.bsky.social,4,119,152,2023-05-16T15:00:26.137Z,False,False,False
brasiltheend.bsky.social,1,1003,859,2024-04-09T17:34:51.886Z,False,False,False
bluestdreams.bsky.social,2,308,308,2024-02-06T19:43:01.832Z,False,False,False
teteisu.bsky.social,16,581,193,2023-07-23T19:50:12.015Z,False,False,False
rodmcleven.bsky.social,2,230,206,2024-11-15T18:24:39.530Z,False,False,False
simepar.bsky.social,7,6,9,2024-09-16T12:31:47.906Z,False,False,False
carmelito.bsky.social,1,257,404,2024-08-31T00:19:15.342Z,False,False,False
emodementira.bsky.social,1,151,98,2024-08-30T20:41:21.542Z,False,False,False
2ccunha.bsky.social,5,414,325,2024-04-09T19:42:13.839Z,False,False,False
rosedabahia1.bsky.social,21,10384,12772,2024-04-10T03:07:42.352Z,False,False,False
bahoander.bsky.social,1,251,172,2023-06-13T10:38:52.211Z,False,False,False
kotonoaware.bsky.social,7,769,1026,2023-07-01T19:12:19.541Z,False,False,False
febolii.bsky.social,6,107,194,2023-06-29T18:36:14.735Z,False,False,False
luduvicu.bsky.social,4,24367,598,2023-06-14T12:36:50.426Z,False,False,False
modestii.bsky.social,1,171,232,2023-07-12T17:52:11.881Z,False,False,False
felippekatan.bsky.social,1,129,142,2023-08-15T20:05:08.599Z,False,False,False
emerluis.bsky.social,1,1640,925,2023-05-04T02:18:41.536Z,False,False,False
doctorclimao.pensamentosequivocados.com,17,3027,705,2023-05-08T12:17:01.244Z,False,False,False
anneelenleblanc.bsky.social,21,979,409,2024-09-17T06:44:45.508Z,False,False,False
redemacuco.bsky.social,2,111,50,2024-04-14T15:12:50.972Z,False,False,False
markov13001.bsky.social,6,2375,2163,2024-04-09T16:32:50.441Z,False,False,False
marirose1962bskys.bsky.social,4,963,562,2024-08-31T12:41:31.308Z,False,False,False
cleidegrava-68.bsky.social,3,216,131,2024-08-30T11:50:52.934Z,False,False,False
aesquerdaprecisa.bsky.social,1,2,0,2025-09-03T23:09:45.798Z,True,False,False
escrevamoringa.bsky.social,10,2090,2985,2024-04-07T02:36:08.774Z,False,False,False
lalary.bsky.social,1,12,16,2024-04-08T20:39:51.957Z,False,False,False
rik-martins.bsky.social,1,364,41,2024-11-21T01:55:34.071Z,False,False,False
leogcosta.bsky.social,4,1000,457,2023-08-18T23:32:35.705Z,False,False,False
flaviodsquerda.bsky.social,1,55,33,2025-01-26T22:44:34.344Z,False,False,False
francshh.bsky.social,2,528,256,2024-12-07T01:43:27.945Z,False,False,False
dr4cultris.bsky.social,1,7,18,2025-06-11T13:26:07.141Z,False,False,False
lowpgui.bsky.social,1,17,31,2025-05-30T14:30:38.542Z,False,False,False
gnjieun.bsky.social,2,115,129,2025-08-26T00:31:18.898Z,True,False,False
agenciabrasil.ebc.com.br,10,3092,3,2024-09-19T20:48:24.208Z,False,False,False
outrasaude.bsky.social,24,547,75,2024-09-02T18:24:25.401Z,False,False,False
qwrstz.bsky.social,2,597,593,2024-08-29T15:34:21.020Z,False,False,False
amtsm.bsky.social,17,4827,4580,2024-04-09T23:19:37.325Z,False,False,False
fogonofascista.bsky.social,1,2678,4082,2024-04-12T18:38:56.258Z,False,False,False
rlivre.cc,2,1808,542,2023-05-11T11:26:20.764Z,False,False,False
gograzi.bsky.social,3,110,232,2023-06-30T03:44:54.468Z,False,False,False
lelebs.bsky.social,2,950,1108,2023-08-19T00:49:54.126Z,False,False,False
luizomb.bsky.social,3,527,313,2024-04-12T21:22:31.797Z,False,False,False
doctrsong.bsky.social,1,424,977,2024-08-30T21:08:50.445Z,False,False,False
sulamoon.bsky.social,2,45387,1453,2023-05-04T18:55:29.344Z,False,False,False
analutatuadora.bsky.social,5,916,372,2024-04-16T13:27:45.814Z,False,False,False
nuza2025.bsky.social,2,2341,2135,2024-04-09T15:22:56.766Z,False,False,False
nbbashikata123.bsky.social,2,253,184,2024-08-30T20:42:50.540Z,False,False,False
ostralha.bsky.social,2,4649,219,2023-04-23T20:35:59.751Z,False,False,False
francisco1953.bsky.social,7,1124,573,2024-04-14T07:00:29.614Z,False,False,False
imbigoprafora.bsky.social,1,158,226,2024-09-05T14:14:38.530Z,False,False,False
exaustaefaminta.bsky.social,7,206,150,2023-07-03T08:49:04.660Z,False,False,False
bernyy.bsky.social,1,360,322,2024-08-31T17:13:19.302Z,False,False,False
s4rah1914.bsky.social,1,611,193,2024-08-29T14:01:34.022Z,False,False,False
algmnamultidao.bsky.social,1,332,1338,2023-07-01T18:29:28.469Z,False,False,False
dontbelonghere.bsky.social,1,204,207,2024-08-31T18:27:09.304Z,False,False,False
miroteixeira.bsky.social,1,147,67,2024-08-31T09:06:30.196Z,False,False,False
nadynne.bsky.social,2,470,302,2023-04-22T17:20:32.730Z,False,False,False
cornetadosul.bsky.social,3,5786,17420,2024-09-15T17:08:31.714Z,False,False,False
danemerson.bsky.social,1,304,392,2023-07-03T18:24:53.660Z,False,False,False
montanahannah.bsky.social,2,451,546,2025-07-23T12:24:26.136Z,False,False,False
diogoafsimoes.bsky.social,2,394,310,2023-08-21T14:10:50.760Z,False,False,False
seriouslybored.bsky.social,3,1382,1004,2023-08-07T20:45:48.118Z,False,False,False
dilmaresiste.bsky.social,3,18006,153,2023-12-04T20:24:17.412Z,False,False,False
haftasarden.bsky.social,1,2312,83,2023-11-12T02:45:06.831Z,False,False,False
falcon-dark.bsky.social,1,68,163,2023-08-01T19:49:12.659Z,False,False,False
eumesma.bsky.social,6,2158,503,2023-05-14T06:32:45.998Z,False,False,False
revistaforum.com.br,2,52548,193,2024-04-10T14:05:59.716Z,False,False,False
willpsart.bsky.social,1,1919,798,2023-09-18T21:44:34.685Z,False,False,False
bellsfuturamagis.bsky.social,1,498,347,2024-09-02T13:51:25.609Z,False,False,False
boessiomonica.bsky.social,1,314,175,2024-08-30T22:09:18.483Z,False,False,False
livro.bsky.social,6,6943,14687,2023-07-27T14:37:31.548Z,False,False,True
mfatima.bsky.social,1,387,267,2024-04-09T02:30:08.271Z,False,False,False
prissguerrero1.bsky.social,10,1164,775,2023-07-03T04:03:02.045Z,False,False,False
capirotinho.bsky.social,1,32137,278,2023-04-21T17:24:46.126Z,False,False,False
matth360.bsky.social,2,439,331,2024-08-29T17:08:47.520Z,False,False,False
sapacaxadoagreste.bsky.social,3,206,211,2024-01-03T23:03:05.622Z,False,False,False
newtb72.bsky.social,1,206,187,2024-08-30T20:48:47.338Z,False,False,False
amelias.bsky.social,5,213,259,2023-05-07T17:05:27.234Z,False,False,False
jornalgrandebahia.bsky.social,14,43,1,2024-11-24T05:08:46.547Z,False,False,False
radagrego.bsky.social,5,1286,785,2023-09-07T22:32:04.238Z,False,False,False
ellaclub.bsky.social,1,28,55,2025-03-05T15:54:38.046Z,False,False,False
esstiloss.bsky.social,2,19,22,2024-09-01T11:05:03.502Z,False,False,False
xeraifeursinho.bsky.social,1,270,201,2024-08-30T21:41:14.739Z,False,False,False
