index,clean_text
71,jornalistas fazem manchete ler notícia
72,cara vsf negocio charles kirks porra país cara filme bang bang aí nada vc q importar algo grave amg vcs q fizeram gnte ficar insensível noticia dessa merda país vão tudo tomar cu
73,pesquisa genial quaest apontou estabilidade índices lula trouxe má notícia governo 43 entrevistados disseram ter ouvido nenhuma notícia positiva relacionada gestão globo
74,notícia chatbots capazes evitar casos suicídio jovens usam ia terapia link paywall
75,link br2 lava jato contra soberania nacional luís nassif caso link br2 alerta brasil decisões políticas econômicas jurídicas podem impactar profundamente segurança nacional jornalggn br noticia link
76,metropolis roubando br créditos reportagem investigativa jatinho rueda assim cara larga publicaram notícia creditar icl
77,coração simplesmente ficou despedaçado notícia usem porra ar condicionado kcte
78,notícia brasil avalia 1º investidor fundo florestas pode gerar r 7 bi país link paywall
79,notícia diferentemente diz trump extremismo direita lidera casos violência política eua link paywall
80,notícia br onda calor 2024 dizimou corais nordeste outras regiões brasil link paywall
81,notícia globo rússia banida esporte mundial israel link paywall
82,vontade parar informar sobre política notícia ruim chega problemas dia dia ansiedade lá cima insônia atacando
83,erro causa problema informático sns deixa milhares utentes acesso serviços eis notícia ninguém ouviu ontem sabem porquê porque maiores anunciantes media portugueses ninguém atreve publicar notícias negativas colinho
84,notícia justiça trabalho condena trabalhadora após advogada usar ia inventar decisões judiciais link paywall
85,notícia sus moldou sistema nhs inglês hoje inspira irmão velho link paywall
86,bizarro provas união brasil acusa governo lula vazar investigação pf contra rueda presidente partido ligações pcc partido preocupado fiscalizar dirigente sim notícia inquérito querem blindar
87,notícia globo stf pode esmorecer controle emendas link paywall
88,notícia globo ficar exterior eduardo bolsonaro deve perder mandato deputado link paywall
89,notícia ditadura afetará todos diz david letterman sobre caso jimmy kimmel link paywall
90,www congressoemfoco br noticia 1120
91,coloco 20 chão certeza gringo virá deus viramos bando asiáticos latinos notícia
92,www congressoemfoco br noticia 1120
93,notícia brasília hoje citar eduardo dino diz parlamentar deve exercer mandato presença física link paywall
94,excelente notícia vamos reproduzir acabar horda esgoto lixos humanos bestas feras
95,notícia pl streaming vai deputado envolvido caso transplantes hiv link paywall
96,sic notícias aguardar saída presidente eua avião após jornada britânica canal televisivo português transmitir mera chegada chefe estado norte americano país governa valores notícia justificam prática jornalística
97,fico triste notícia dessas
98,notícia globo adultização nove cada dez brasileiros defendem redes removam posts pais respondam exposição filhos link paywall
99,torcedores calma assustem notícia pressão 12 8 pressão alta ainda consegui ler toda nova diretriz publicada hoje tempo querem puxar pressão pra pra baixo saudável cardiopatias deixa pressão 12 8
100,notícia senadores eua apresentam projeto congresso cancelar tarifas aplicadas brasil link paywall
101,ana elisa bechara eleita diretora faculdade direito usp direito usp br noticia e912
102,notícia mônica bergamo lider pt aparece chorando vídeo manipulado denúncia deputado uso ia link paywall
103,notícia animações studio ghibli retornam cinemas impulsionadas fãs link paywall
104,notícia brasília hoje toffoli pede manifestação câmara processo stf questiona pec blindagem link paywall
105,ahhh finalmente boa notícia sequência golpes últimos dias
106,agora vi notícia renato augusto decidiu aposentar baita jogador preferidos camisa corinthians pena físico atrapalhou demais carreira vai técnico dirigente foda valeu tudo ge globo futebol time
107,notícia globo dino diz mandato parlamentar exige presença física link paywall
108,notícia governo lula anuncia r 11 7 bi obras drenagem novo pac seleções link paywall
109,notícia eua restringem circulação padilha ny 5 quarteirões hotel reuniões onu link paywall
110,notícia peso bolsa caem risco investir argentina atinge maior patamar ano link paywall
