handle,text,is_recent_account,is_following_ratio_high,has_duplicate_posts
lureif.bsky.social,"Adoraria tomar vacina, ou levar meu filho tomar vacina, pena q não tem 🤡",False,False,False
lureif.bsky.social,"Esse ministério da saúde tá u ó sem vacina, sem campanha, sem teste ... 🤡",False,False,False
issadevils.bsky.social,Que vacina do caralho,False,False,False
cnn-brasil.bsky.social,"Empresas recorrem a crédito como ""remédio"" e ""vacina"" a tarifaço dos EUA",False,False,False
cnn-brasil.bsky.social,Confiança na vacina contra Covid-19 variou de acordo com o país de origem,False,False,False
cnn-brasil.bsky.social,Pesquisa sugere que vacina de zóster previne doenças do coração,False,False,False
cnn-brasil.bsky.social,"Vacina pode prevenir câncer colorretal e de pâncreas, mostra estudo",False,False,False
cnn-brasil.bsky.social,"Vacina da dengue tem 67,5% de eficácia contra internação de adolescentes",False,False,False
cnn-brasil.bsky.social,Departamento de Saúde dos EUA encerrará desenvolvimento de vacina de mRNA,False,False,False
cnn-brasil.bsky.social,Governo do RJ expande vacina contra HPV para jovens de até 19 anos,False,False,False
cnn-brasil.bsky.social,Vacina universal contra câncer apresenta resultados promissores em estudo,False,False,False
cnn-brasil.bsky.social,Bebês recebem antídoto para veneno de cobra no lugar de vacina de hepatite,False,False,False
cnn-brasil.bsky.social,Vacina contra vírus zika mostra resultados promissores em testes,False,False,False
cnn-brasil.bsky.social,Nova vacina no SUS: o que muda na proteção de bebês contra meningite,False,False,False
cnn-brasil.bsky.social,"Fazer cirurgia plástica é como tomar vacina contra gripe, diz Debbie Harry",False,False,False
cnn-brasil.bsky.social,Primeira vacina brasileira contra gripe aviária entrará em fase de testes,False,False,False
cnn-brasil.bsky.social,Dose de reforço de vacina contra meningite terá proteção maior,False,False,False
cnn-brasil.bsky.social,Brasil recebe certificação de livre de febre aftosa sem uso de vacina,False,False,False
cnn-brasil.bsky.social,Agência dos EUA aprova nova geração de vacina da Moderna contra Covid,False,False,False
cnn-brasil.bsky.social,Vacina contra Covid: EUA mantêm recomendação para crianças,False,False,False
cnn-brasil.bsky.social,EUA retiram recomendação da vacina contra Covid para crianças ​​e grávidas,False,False,False
cnn-brasil.bsky.social,Primeira vacina contra gripe aviária está em estudos no Brasil,False,False,False
cnn-brasil.bsky.social,"Vacina contra herpes-zóster reduz em 23% risco cardiovascular, diz estudo",False,False,False
cnn-brasil.bsky.social,"Brasil recebe lote e assegura vacina da Covid para 2025 e 2026, diz Padilha",False,False,False
cnn-brasil.bsky.social,Homem com doses completas de vacina é o 1º caso de sarampo do ano em SP,False,False,False
cnn-brasil.bsky.social,Vacina contra chikungunya: veja o que já se sabe sobre imunizante,False,False,False
cnn-brasil.bsky.social,Anvisa aprova vacina do Instituto Butantan e Valneva contra chikungunya,False,False,False
cnn-brasil.bsky.social,Vacina contra gripe é segura e não causa a doença; saiba mais verdades,False,False,False
pt-noticias.bsky.social,"Painel do secretário da Saúde dos EUA retira recomendação da vacina para Covid-19

https://www.europesays.com/pt/78956/

Numa série de votações na sexta-feira, os conselheiros dos Centros de Controlo e Prevenção de Doenças (CDC) não…",True,False,False
pt-noticias.bsky.social,"Município de Araras – Secretaria da Saúde vacina região rural contra febre amarela

https://www.europesays.com/pt/78612/

Ação acontece neste sábado (20) do bairro Elihu Root até a Cascata, a partir das 7h30; Araras está…",True,False,False
lpacheco.bsky.social,Imagina se ele soubesse que gado bom é o que nem precisa de vacina.,False,False,False
amazolin.bsky.social,Acho que essa história da vacina é mentira. Ficou com vergonha de dizer que ele não é ninguém na terra do tio Sam.,False,False,False
amazolin.bsky.social,A gente poderia exportar dengue e depois vender vacina 😏,False,False,False
miniseun.bsky.social,"tava vendo a treta do cara que levou um golpe de um mano e ele simplesmente tacou os dados da família toda do golpista no face, tem até o lote da vacina da mãe do golpista kkkkkkkkkkkkkkkkkkkkkkkkkkkkkk ta uma zoação do cacete",False,False,False
medoedeliriobr.bsky.social,"Descobrindo que o bicicleta voltou ao Brasil porque o visto dele só seria válido se ele tomasse algumas vacinas e a azêmola se recusou, ""não sou gado pra tomar vacina""...",False,False,False
carlosrof.bsky.social,"Os mesmos suspeitos de corrupção na compra da vacina Covaxin, durante o governo Bolsonaro, apareceram novamente no escândalo do INSS, também de responsabilidade do governo Bolsonaro. Alguém surpreso? Agora o Flávio Dino mandou investigar tudo!",False,False,True
fabiaoliveira.bsky.social,"“Dor intensa”, revela Marcelo Faria sobre diagnóstico de herpes-zóster

O ator usou o Instagram, na quinta-feira (18/9), para falar sobre a doença e convocar os fãs para uma consulta pública sobre a vacina.
www.metropoles.com/colunas/fabi...",False,False,False
juqsaur.bsky.social,Cadê minha estrelinha por ter tomado vacina hj…,False,False,False
hotnewspt.bsky.social,"Presidente da Academia Americana de Pediatria sobre possíveis mudanças no cronograma da vacina: NPR #ÚltimasNotícias #Brasil

Hot News O Comitê Consultivo do CDC está considerando alterações no cronograma da vacina na infância. A NPR fala com a Dra. Susan Kressly, presidente da Academia Americana…",False,False,False
hotnewspt.bsky.social,"“Revolução na Saúde: Vacina Universal Contra o Cancro Promete Eliminar Tumores Resistentes e Mudar Vidas!”

Vacina Universal Contra o Cancro: Esperança Brilhante no Horizonte! O mundo da medicina está em alvoroço! Uma nova pesquisa pode ter descoberto o caminho para uma vacina universal contra o…",False,False,False
hotnewspt.bsky.social,"“Revolução na Luta Contra a Malária: Nova Vacina Promete Bloquear Totalmente a Transmissão!”

Revolução na Luta Contra a Malária: Vacina Promete Quebrar Ciclo de Transmissão A batalha contra a malária alcançou um novo patamar! Cientistas australianos anunciaram um avanço extraordinário no combate a…",False,False,False
somosjacare.bsky.social,"Até onde sei as vacinas estão disponíveis nos postos de saúde.
Moto no interior e só tomei a dose por que estava renovando a vacina de tétano  e da gripe. Se tudo der certo semana que vem toma a da COVID.",False,False,False
somosjacare.bsky.social,"Tenho que tomar a minha dose desse ano.
Fui no posto renovar a minha vacina da gripe e de tétano e a moça disse que não poderia tomar a da COVID. Mas já passou um mês e vou tomar ela.
O SUS é maravilhoso.",False,False,False
somosjacare.bsky.social,Quem é contra vacina é serial killer.,False,False,False
somosjacare.bsky.social,"Esse sujeito tem que ser processado e preso. A vacinação é a única forma de salvar vida contra certos tipos de doenças fatais. Muitas crianças e adultos vão ter sequelas ou morrer por essa ação genocida. 
Aqui no Brasil morreram mais de 700.000 brasileiros porque um genocida não compro uma vacina.",False,False,False
somosjacare.bsky.social,"É muita estupidez!!
Vacina é vida.
Esses vagabundos têm que serem punidos!!
Para cada criança que perder os movimentos por falta de vacina tem que ser marcado um x na testa desses negacionistas filhos da puta.",False,False,False
somosjacare.bsky.social,"Quando a epidemiar vier, esses serão os primeiros a querem a vacina. 
Acho que serão que ser os últimos.
E responsabilizados por todos o sequelados e mortos pela não vacinação.
A saúde é um direito do cidadão e um dever do Estado, 
É por isso que tem que ser universal e gratuita.",False,False,False
somosjacare.bsky.social,"Os EUA estão virando um roteador de vírus, com essa imbecilidade ante vacina.
O que vai acontecer é que o cidadão estadunidense não ter permissão para entrar nos países por uma questão sanitária.
Os caras vão virar páreas.",False,False,False
somosjacare.bsky.social,"Quem não se vacina é um suicida.
Um, estupido e egoísta, pois contaminar outras pessoas.",False,False,False
