index,clean_text
72,vai passar tv idosa fiquei isolamento perdi amigos parentes outros sequela aposentei sus sei q falta vacina causa quero ver corja fudendo antes morrer sei q vou pro inferno quero povo lá estrepem céu crentes
73,bolsonaro tratou vida povo brasileiro desprezo durante pandemia desprezou vacina espalhou fake news transformou dor milhares famílias palco crimes agora justiça começa cobrar acerto contas cresce porco gordo exército pazzuelo cadeia
74,mesmos suspeitos corrupção compra vacina covaxin durante governo bolsonaro apareceram novamente escândalo inss responsabilidade governo bolsonaro alguém surpreso agora flávio dino mandou investigar tudo
75,lembrando condenado nesse processo pq tomou vacina ajudante ordens achou boa ideia falsificar cartão vacina
76,cansada produzindo vacina
77,município vê vacina desde 2022
78,mesmos suspeitos corrupção compra vacina covaxin durante governo bolsonaro apareceram novamente escândalo inss responsabilidade governo bolsonaro alguém surpreso agora flávio dino mandou investigar tudo
79,3 suspeitos envolvimento roubalheira caso vacina covaxin governo bolsonaro voltam aparecer escândalo bolsonarista inss 4 paulinho força relator projeto inconstitucional anistia tentativa continuação golpe
80,3 suspeitos envolvimento roubalheira caso vacina covaxin governo bolsonaro voltam aparecer n 8escândalo bolsonarista inss y
81,fala sério acreditava vacina então pra ter tomado
82,pode vacina contra hpv eliminar cancros outras doenças
83,disse várias vezes eua problema resolverá sozinho equipe secretário saúde rfk jr remove recomendação aplicação vacina tetraviral protege contra sarampo caxumba rubéola catapora
84,pqp tirar vacina hepatite b recém nascido
85,governo estados unidos deixa recomendar vacina contra sarampo
86,tomei 3 vacina hoje feliz demais
87,vacina
88,ir tomar vacina todas outras doses doeu monte febre consegui dormir direito fiquei inválida dia seguinte quero
89,pai humanidade 700 mil pessoas morreram vítimas falta vacina contra covid
90,morreram 700 mil pessoas falta vacina além comprarem vacinas ainda debocharam vítimas
91,continuando saga assistir todo dia 3 episódios anime one piece assisti episódios 186 187 188 saga skypiea flashback 400 anos atrás shandora cidade ouro povo sofrendo doença noland precisa ajudá los fazendo vacina animes onepiece
92,duas gatas indo juntas vet tomar vacina petshop pra podar garras sempre preta recebe elogios linda concordo linda impor padrões beleza fazer tipo distinção animais
93,anistia car parentes mortos falta vacina debochados falta ar www cnnbrasil br politica aut
94,vacina hj
95,vacina covid protege contra complicações cardíacas doença cientistas europeus publicaram novo consenso sobre prevenção agenciabrasil ebc br saude notici
96,pensar criança anos 80 pensava anos 2000 carros voadores teletransporte robôs cozinhavam limpavam casa gente terra plana movimento anti vacina
97,portanto repente parte população frágil deixar tomar vacina fica sujeita vírus consequências
98,ministério saúde abre consulta pública sobre inclusão vacina contra herpes zóster sus simepar org br ministerio d
99,vacina sim
100,vai pagar ter exigido us 1 vacina bozoh
101,vai tomando vacina
102,inventem congresso estorinhas anistia anistia lite tornozeleira todos pec impunidade vacina stf
103,amanha eh dia vacina tadinha
104,vacina coração agradece nova pesquisa revela vacinação contra covid 19 pode reduzir significativamente complicações cardíacas associadas doença entenda proteger manter coração saudável clique descubra sobre importante descoberta
105,agora noixx vai falar vacina vamos lavar alma dino
106,tava evento falando dessa vacina congresso infecto aqui floripa
107,realmente emocionado juro quantos esperavam vão querer anistiar genocidas corruptos fdp etc agora vai ter vacina papuda
108,problema seguimos dizendo covid problema médicos seguem receitando azitromicina ivermectina população geral segue acesso vacina informação sobre ondas ministério saúde faz gaslighting sobre duração imunidade bozo venceu debate
109,lembremos camisotti preso desvios inss apereceu cpi covid compra fraudada vacina certo deputado lembrai brasileiros
110,deus família inteira inquérito carteira vacina fraquejada começou tudo deus yes yessssss precisamos apenas processo pra michelle família toda reunida ouriçada
111,flávio dino esquece ninguem vacina neném vacina neném
112,epiódio 21 22 09 2022 temer invasão capitólio vai servir vacina pra ai temer
113,pode demorar conta chega sonho ver todos trabalharam conta vacina saúde pública condenados aliás passou hora ter lei incrimine discurso antivacina
114,manu tomou vacinas 4 meses reação perdeu apetite ficou tristonha noite acordou chorando 4am cólicas mês ainda bem vacinou vacina ficou desse jeito imagina pega doença
115,pra todo mundo tomou vacina pra catapora tá sujeito merda
116,ministério saúde intensifica mobilização vacinar adolescentes contra hpv www redemacuco br 2025 09 15 p saúde vacina hpv
117,brasil vive epidemia ignorância vacina chama ensino público qualidade regulação mídias redes sociais ajuda
118,pena sinto mesma pena mãe lutando desesperadamente respirar menor chance ter recebido sequer dose vacina mundo todo recebendo aqui casa mãe quero sofra tudo fingimento bem sei
119,médico nunca ouviu falar vacina bcg tô chocada país conhecimento geral medicina mundo
120,esquerda precisa aprender defender vacina
121,pessoa doa acha absurdo estado ter política consagrada dar uns trocados condicionados vacina presença escolar pq políticas públicas fortes existência destas ongs desnecessárias bilionários falo nada pq peso terra faz tempo
122,acordei consigo dormir pq braço ta duro vacina
123,gostava saber escolheriam caso oferecessem 2 doses vacina covid alternativa condenação
124,vacina flúor máscara democracia literatura todas artes atacam todas frentes sucesso tô fase absolutamente derrotista acho redes sociais vão permitir sociedade evolua moralmente além provavelmente vai involuir
125,bolsonaro quase indo papuda bandido cortou ciência atacou avanços vacina butantã durante pandemia festejou morte voluntario faleceu acidente testes vacina disse poderia virar jacaré tomar vacina brasileira
126,fizeram mariah tomar vacina febre amarela
127,boa noite wonnie lembrou q q tomar vacina
